7202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,北港(經民雄),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,第一銀行,公明路,市政府,文化中心,台斗街,後湖,宏仁女中,荖籐宅,忠孝北街,頭橋工業區,頭橋,福樂新村,協同中學,吳鳳科技大學,雙福,民雄稅捐處,協志高中,民雄鄉公所,民雄,溪口路口,民雄國中,福權村1,福權村2,菁埔,西庄,大潭,三王公廟,宮前,東頭,新港,新港國中,後庄路口,老塗獅,南壇,南港派出所,板頭路口,水仙宮,安和路口,崙陽路口,蘇厝寮,北港派出所,北港,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
7202B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,北港(經民雄、嘉義市區),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,文化路口,民族停車場,228紀念館,嘉義高中,嘉義高商,華南商職1,市政府,文化中心,台斗街,後湖,宏仁女中,荖籐宅,忠孝北街,頭橋工業區,頭橋,福樂新村,協同中學,吳鳳科技大學,雙福,民雄稅捐處,協志高中,民雄鄉公所,民雄,溪口路口,民雄國中,福權村1,福權村2,菁埔,西庄,大潭,三王公廟,宮前,東頭,新港,新港國中,後庄路口,老塗獅,南壇,南港派出所,板頭路口,水仙宮,安和路口,崙陽路口,蘇厝寮,北港派出所,北港
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7202C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,北港(經民雄、繞駛吳鳳科大),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,第一銀行,公明路,市政府,文化中心,台斗街,後湖,宏仁女中,荖籐宅,忠孝北街,頭橋工業區,頭橋,福樂新村,協同中學,吳鳳科大校內,吳鳳科技大學,雙福,民雄稅捐處,協志高中,民雄鄉公所,民雄,溪口路口,民雄國中,福權村1,福權村2,菁埔,西庄,大潭,三王公廟,宮前,東頭,新港,新港國中,後庄路口,老塗獅,南壇,南港派出所,板頭路口,水仙宮,安和路口,崙陽路口,蘇厝寮,北港派出所,北港,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,土庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,第一銀行,公明路,市政府,文化中心,台斗街,後湖,宏仁女中,荖籐宅,忠孝北街,頭橋工業區,頭橋,福樂新村,協同中學,吳鳳科技大學,雙福,民雄稅捐處,協志高中,民雄鄉公所,民雄,溪口路口,下寮,南靖厝,上崙,下崙,溪口,溪北,米粉宮1,米粉宮,游厝1,游厝,牛埔寮,舊庄,怡然村,田尾,聯美,土庫1,土庫2,土庫,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
7204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,溪口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,第一銀行,公明路,市政府,文化中心,台斗街,後湖,宏仁女中,荖籐宅,忠孝北街,頭橋工業區,頭橋,福樂新村,協同中學,吳鳳科技大學,雙福,民雄稅捐處,協志高中,民雄鄉公所,民雄,溪口路口,下寮,南靖厝,上崙,下崙,溪口,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
7204A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,溪口(經嘉義市學區),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,文化路口,民族停車場,228紀念館,嘉義高中,嘉義高商,華南商職1,市政府,文化中心,台斗街,後湖,宏仁女中,荖籐宅,忠孝北街,頭橋工業區,頭橋,福樂新村,協同中學,吳鳳科技大學,雙福,民雄稅捐處,協志高中,民雄鄉公所,民雄,溪口路口,下寮,南靖厝,上崙,下崙,溪口,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
7306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梅山,民雄國中(經雙溪),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梅山,果菜市場,梅山公園前,南梅山,下坑,九芎坑,隘寮,大草埔,玉繩宮,頂外湖,外湖,頂雙溪,雙溪,崎頂,芹蕉山,過溪園,田寮,隆溪,芹蕉園,大枯園,葉子寮,新厝,崎腳,新崎腳,中正大學後門,三興國小,陳厝寮,三興,中正大學前門,中正大學,山子腳,豐收,民雄長壽會館,民雄火車站,民雄國小,民溪路口,民雄國中,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,,,,,,,,,,
7316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,崙子(經溪口),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大雅站,二二八紀念館,民族停車場,文化路口,新光三越遠東站,嘉義火車站,彰化銀行,中央噴水站,市府站,文化中心,台斗坑,後湖,宏仁女中,遠東機械廠,忠孝北街口,頭橋工業區,美上美公司,愛之味,江厝店,興中國小,義橋,文隆村,民雄農工,嘉大民雄校區,文隆橋,民雄鄉公所,民雄國小,民溪路口,下寮,南靖厝,柳子溝,阿連,下坪,竹圍,溪口,溪口農會,溪口國小,柴林路口,柴林腳,林腳社區,田心莊,北崙,崙子,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
7316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,崙子(經溪口、繞嘉義市學區),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大雅站,華南商職,嘉義公園,嘉中,嘉義家職,嘉工,文化路口,嘉義,彰化銀行,第一銀行,市府站,文化中心,台斗坑,後湖,宏仁女中,遠東機械廠,忠孝北街口,頭橋工業區,美上美公司,愛之味,江厝店,興中國小,義橋,文隆村,民雄農工,嘉大民雄校區,文隆橋,民雄鄉公所,民雄國小,民溪路口,下寮,南靖厝,柳子溝,阿連,下坪,竹圍,溪口,溪口農會,溪口國小,柴林路口,柴林腳,林腳社區,田心莊,北崙,崙子,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
