7124A,F,埒內站(南向),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六,北港,經北勢子,虎尾、土庫、元長,,,A[繞駛媽祖醫院],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douliu,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六,鎮西國小,中華影城,慈濟門診中心,雲林監理站,縣政府,久安1,久安,新庄,東明里,新光,北勢,惠來公墓,惠來國小,大路墘,崁腳,中溪,埒內,虎尾,虎尾科技大學,頂湳,中湳,下湳,永年中學,土庫,土庫商工,下店,新興,義雲宮,奮起湖,秀潭,和平國小,子茂,元長,元長1,白花墓,頂西庄,西庄,溝皂,頂草湖,草湖,新街,媽祖醫院,五路財神廟,北港電力公司,北港,,
Douliu,Zhenxi ES.,Zhonghua Movie City,Tzu Chi Clinic Center,Yunlin Motor Vehicles Station,County Government,Jiuan 1,Jiuan,Xinzhuang,Dongming Village,Xinguang,Beishi,Huilai cemetery,Huilai ES.,Daluqian,Kanjiao,Zhongxi,Lenei,Huwei,NFU,Dingnan,Zhongnan,Xianan,Yongnian High School,Tuku,Tuku Voc. High,Xiadian,Xinxing,Yiyun Temple,Fenqihu,Xiutan,Heping Elementary School,Zimau,Yuanchang,Yuanzhang1,Bai hua mu,Dingxizhuang,Xizhuang,Gouzao,Dingcaohu,Caohu,Xinjie,Mazu Hospital,Wulu Caishen Temple,Beigang Power Company,Beigang,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
466011100145817 ,埒內站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7124A,M,埒內站(北向),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,斗六,經北勢子,虎尾、土庫、元長,,,A[繞駛媽祖醫院],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Douliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,媽祖醫院,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,子茂,和平國小,秀潭,奮起湖,義雲宮,新興,下店,土庫商工,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,埒內,中溪,崁腳,大路墘,惠來國小,惠來公墓,北勢,新光,東明里,新庄,久安,久安1,縣政府,雲林監理站,慈濟門診中心,中華影城,鎮西國小,斗六,,
Beigang,Beigang Power Company,Wulu Caishen Temple,Mazu Hospital,Xinjie,Caohu,Dingcaohu,Gouzao,Xizhuang,Dingxizhuang,Bai hua mu,Yuanzhang1,Yuanchang,Zimau,Heping Elementary School,Xiutan,Fenqihu,Yiyun Temple,Xinxing,Xiadian,Tuku Voc. High,Tuku,Yongnian High School,Xianan,Zhongnan,Dingnan,NFU,Huwei,Lenei,Zhongxi,Kanjiao,Daluqian,Huilai ES.,Huilai cemetery,Beishi,Xinguang,Dongming Village,Xinzhuang,Jiuan,Jiuan 1,County Government,Yunlin Motor Vehicles Station,Tzu Chi Clinic Center,Zhonghua Movie City,Zhenxi ES.,Douliu,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
466011200153953 ,埒內站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7104,F,埒內社區站(北向),,,支線A[不經 高鐵雲林站],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,麥寮,,高鐵雲林站、崙背、麥寮、雲林長庚醫院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwei,Liuqing Industry Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0715,0750,0810,0830,0900,1150,1200,1240,1320,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,0750,1150,1240,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,勝源,埒內社區,興隆毛巾工廠,台大虎尾分院,高鐵雲林站,吳厝,湳仔,三和國小,十八張犁,三塊厝,深坑,港尾,東興國小,羅厝,羅厝1,新起寮,崙背,松本超市,鹽園,五塊厝,大有,華濟醫院,興化厝,霄仁厝,鎮東宮,麥寮衛生所,麥寮,麥寮鄉公所,麥寮高中,楊厝,後安,雲林長庚醫院,六輕工業區,,,,,,,,,,,,,,
Huwei,Shengyuan,Lenei Community,SL Towel Industrial Factory,NTU Hospital Huwei Branch,Yunlin HSR Station,Wucuo,Nanzi,Sanhe ES.,Shibazhangli,Sankuaicuo,Shenkeng,Gangwei,Dongsing ES.,Luocuo,Luocuo(I),Xinqiliao,Lunbei,Songben Supermarket,Yanyuan,Wukuaicuo,Dayou,Huaji Hospital,Xinghuacuo,Xiaorencuo,Zhendong temple,Mailiao Public Health Office,Mailiao,Mailiao Township Office,Mailiao Senior High,Yangcuo,Hou-An,Yunlin Changgung Memorial Hospital,Liuqing Industry Park,,,,,,,,,,,,,,
-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
466011200153958 ,埒內社區站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
