7111,F,褒忠站(西向),,,週六班次為支線A[繞駛臺西國中],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,麥寮,經台西,馬光、褒忠、月眉、東勢、台西、崙豐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwei,Mailiao Public Health Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0630,0740,0830,1135,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830,1135,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,廉使,雲林二監,北溪厝,東屯,大屯,西屯,後埔,馬光,馬光國小,頂寮,褒忠,三仁醫院,媽埔,月眉,復興,東勢,東勢監理分站,三塊厝,東潭,路利潭,西潭,五榔,光華村,台西,福安宮,五港,崙豐,南公館,草寮,蚊港,蚊港1,三姓寮,新興,麥寮,麥寮衛生所
Huwei,Lianshi,Yunlin Second Prison,Beixicuo,Dongtun,Datun,Xitun,Houpu,Maguang,Maguang ES.,Dingliao,Baozhong,Sanren Hospital,Mabu,Yuemei,Fuxing,Dongshi,Dongshi Motor Vehicle Substation,Sankuaicuo,Easttan,Lulitan,Westtan,Wulang,Guanghua Village,Taixi,Fu-an Temple,Wugang,Lunfeng,Nangongguan,Caoliao,Wengang,Wengang 1,Sanxingliao,Xinxing,Mailiao,Mailiao Public Health Office
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153675 ,褒忠站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西國中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taixi JHS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7111,M,褒忠站(東向),,,週六班次為支線A[繞駛臺西國中],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮,虎尾,經台西,馬光、褒忠、月眉、東勢、台西、崙豐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mailiao Public Health Office,Huwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
