9016,F,四湖站(西向),,,A[不經明道大學],,,,,,,,,,,,,,,
臺中車站,四湖,,埔心、崙背、麥寮、台西,,,,,,,,,,,,,,,,,
TRA Taichung Station,Sihu,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,台中客運 0800-800126,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,
0630,0730,0830,0900,0930,1030,1130,1230,1330,1400,1500,1530,1600,1630,1730,1900,2030,1800,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
臺中車站,朝馬(上客站),明道大學,西螺站,埔心,二崙,崙背,大有,豐榮,橋頭,沙崙後1,麥寮,崙豐,台西,四湖,,,,,,
TRA Taichung Station,Chaoma Station,Mingdao University,Xiluo Station,Puxin,Erlun,Lunbei,Dayou,Fengrong,Qiaotou,Shalunhou(I),Mailiao,Lunfeng,Taixi,Sihu,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,
466011200153673 ,四湖站,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9016,M,四湖站(東向),,,A[不經明道大學],,,,,,,,,,,,,,,
四湖,臺中車站,,埔心、崙背、麥寮、台西,,,,,,,,,,,,,,,,,
Sihu,TRA Taichung Station,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,台中客運 0800-800126,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0540,0600,0650,0750,0850,0950,1020,1120,1150,1250,1320,1350,1450,1550,1710,1830,1930,2010,2100,2130,2200
0540,0600,0650,0750,0850,0950,1020,1120,1150,1250,1320,1350,1450,1550,1620,1710,1830,1930,2010,,
四湖,台西,崙豐,麥寮,沙崙後1,橋頭,豐榮,大有,崙背,二崙,埔心,西螺站,明道大學,朝馬(下客站),臺中市政府(下客站),頂何厝(臺灣大道)(下客站),科學博物館(臺灣大道)(下客站),民權路口(下客站),臺中教育大學(下客站),臺中州廳(下客站),臺中車站
Sihu,Taixi,Lunfeng,Mailiao,Shalunhou(I),Qiaotou,Fengrong,Dayou,Lunbei,Erlun,Puxin,Xiluo Station,Mingdao University,Chaoma Station,Taichung City Hall,Dinghecuo(Taiwan Boulevard),NMNS(Taiwan Boulevar),Minquan Rd. Intersection,NTCU,Taichung Prefectural Hall,TRA Taichung Station
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153672 ,四湖站,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9016,F,埔心(西向),,,A[不經明道大學],,,,,,,,,,,,,,,
臺中車站,四湖,,埔心、崙背、麥寮、台西,,,,,,,,,,,,,,,,,
TRA Taichung Station,Sihu,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,台中客運 0800-800126,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,
0630,0730,0830,0900,0930,1030,1130,1230,1330,1400,1500,1530,1600,1630,1730,1900,2030,1800,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
臺中車站,朝馬(上客站),明道大學,西螺站,埔心,二崙,崙背,大有,豐榮,橋頭,沙崙後1,麥寮,崙豐,台西,四湖,,,,,,
TRA Taichung Station,Chaoma Station,Mingdao University,Xiluo Station,Puxin,Erlun,Lunbei,Dayou,Fengrong,Qiaotou,Shalunhou(I),Mailiao,Lunfeng,Taixi,Sihu,,,,,,
-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,,,,,,
466011200153682 ,埔心,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9016,M,埔心(東向),,,A[不經明道大學],,,,,,,,,,,,,,,
四湖,臺中車站,,埔心、崙背、麥寮、台西,,,,,,,,,,,,,,,,,
Sihu,TRA Taichung Station,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,台中客運 0800-800126,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0540,0600,0650,0750,0850,0950,1020,1120,1150,1250,1320,1350,1450,1550,1710,1830,1930,2010,2100,2130,2200
0540,0600,0650,0750,0850,0950,1020,1120,1150,1250,1320,1350,1450,1550,1620,1710,1830,1930,2010,,
四湖,台西,崙豐,麥寮,沙崙後1,橋頭,豐榮,大有,崙背,二崙,埔心,西螺站,明道大學,朝馬(下客站),臺中市政府(下客站),頂何厝(臺灣大道)(下客站),科學博物館(臺灣大道)(下客站),民權路口(下客站),臺中教育大學(下客站),臺中州廳(下客站),臺中車站
Sihu,Taixi,Lunfeng,Mailiao,Shalunhou(I),Qiaotou,Fengrong,Dayou,Lunbei,Erlun,Puxin,Xiluo Station,Mingdao University,Chaoma Station,Taichung City Hall,Dinghecuo(Taiwan Boulevard),NMNS(Taiwan Boulevar),Minquan Rd. Intersection,NTCU,Taichung Prefectural Hall,TRA Taichung Station
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1
466011200153683 ,埔心,,,,,,,,,,,,,,,,,,,
