1635,F,褒忠站(西向),,,A[不停中港轉運站],,,,,,,,,,,,,,,,,,,,,
台北,四湖鄉,,西螺、虎尾、褒忠、臺西,,,,,,,,,,,,,,,,,,,,,,,
Taipei Bus Station,Santiaolun,,,,,,,,,,,,,,,,,,,,,,,,,
依時段、里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,
統聯客運 0800-241560,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,1310,1510,1910,,,,,,,,,,,,,,,,,,,,,,,
1110,1310,1510,1710,,,,,,,,,,,,,,,,,,,,,,,
臺北轉運站,重陽站(上客站),林口站(上客站),中壢服務區(上客站),中港轉運站,西螺站(下客站),斗南交流道(下客站),平和橋(下客站),虎尾站(下客站),大屯站(下客站),馬光站(下客站),褒忠站(下客站),月眉村(下客站),復興村(下客站),東勢厝站(下客站),龍潭(下客站),五榔(下客站),光華村(下客站),臺西站(統聯)(下客站),安南宮(下客站),東庄寮(下客站),頂湖(下客站),四湖(下客站),東洋調(下客站),中洋調(下客站),飛東村(下客站),三條崙
Taipei Bus Station,Chongyang Station,Linkou Station,Zhongli Service Area,Zhonggang Bus Station,Xiluo Station,Dounan IC.,Pinghe Bridge,Huwei Station,Datun Station,Maguang,Baozhong Station,Yuemei Village,Fuxing Village,Dongshicuo Station,Longtan,Wulang,Guanghua Village,Taixi Station(Ubus),Annan Temple,Dongzhuangliao,Dinghu,Sihu,Dongyangdiao,Zhongyangdiao,Feidong Village,Santiaolun
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153675 ,褒忠站,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,M,褒忠站(東向),,,A[不停中港轉運站],,,,,,,,,,,,,,,,,,,,,
四湖鄉,台北,,西螺、虎尾、褒忠、臺西,,,,,,,,,,,,,,,,,,,,,,,
Santiaolun,Taipei Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,
依時段、里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,
統聯客運 0800-241560,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
0600,1300,1700,,,,,,,,,,,,,,,,,,,,,,,,
0600,1000,1200,1300,1500,1700,,,,,,,,,,,,,,,,,,,,,
三條崙,飛沙(上客站),四湖(上客站),臺西站(統聯)(上客站),東勢厝站(上客站),褒忠站(上客站),虎尾站(上客站),西螺站(上客站),中港轉運站,中壢服務區(上客站),林口站(下客站),重陽站(下客站),正義北路(下客站),成淵高中(下客站),臺北轉運站,,,,,,,,,,,,
Santiaolun,Feisha,Sihu,Taixi Station(Ubus),Dongshicuo Station,Baozhong Station,Huwei Station,Xiluo Station,Zhonggang Bus Station,Zhongli Service Area,Linkou Station,Chongyang Station,Zhengyi N. Rd.,Cheng Yuan High School,Taipei Bus Station,,,,,,,,,,,,
-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
466011200153674 ,褒忠站,,,,,,,,,,,,,,,,,,,,,,,,,
