7201,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,嘉義,經月眉潭,新港,,,A[經嘉義市學區],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Chiayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義客運 05-2750895,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,0620,0720,0820,0920,1020,1120,1250,1430,1500,1530,1620,1710,1750,1850,1950,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港派出所,蘇厝寮,崙陽路口,安和路口,水仙宮,板頭路口,南港派出所,南壇,老塗獅,後庄路口,新港國中,新港,新港電力公司,新港公所,建昌社區,菜公村,新興社區,月眉派出所,月眉潭,水利會,嘉太工業區,華濟醫院,西麻魚里,麻魚里,東麻魚里,嘉新國中,南新,水牛厝,竹子腳,下埤里,大溪厝,大嘉駕訓班,姜母寮,嘉義醫院,市議會,伏龍宮,火車站,嘉義,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Beigang Police Substation,Sucuoliao,Lunyang Rd. Intersection,Anhe Rd. Intersection,Shuixian Temple,Bantou Rd. Intersection,Nangang Police Substation,Nantan,Laotushi,Houzhuang Rd. Intersection,Xingang JHS.,Xingang,Taipower Xingang Service center,Xingang Township Office,Jianchang Community,Caigong Village,Xinxing Community,Yuemei Police Substation,Yuemeitan,Irrigation Association,Jiatai Industrial Park,Huaji Hospital,West Mayu Village,Mayuli,Dongmayuli,Jiaxin JHS.,Nanxin,Shuiniucuo,Zhuzijiao,Xiabi Village,Daxicuo,Dajia Driver School,Jiangmuliao,Chiayi Hospital,City Council,Fulong Temple,Train Station,Chiayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100017,北港派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文化路口,民族停車場,228紀念館,嘉義高中,嘉義高商,華南商職1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenhua Road Intersection,Mingtsu Parking Lot,228 memorial museum,National Chiayi Senior High School,National Chia-Yi Senior Commercial Vocational Scho,National Hua-Nan Commercial High School1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7202,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,嘉義,經民雄,頭橋、民雄、新港,,,,A[經嘉義市區]、C[繞駛吳鳳科技大學](非寒暑假平日加開),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Chiayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義客運 05-2750895,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0600,0630,0710,0800,0950,1140,1220,1330,1400,1550,1630,1720,1830,1930,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港派出所,蘇厝寮,崙陽路口,安和路口,水仙宮,板頭路口,南港派出所,南壇,老塗獅,後庄路口,新港國中,新港,東頭,宮前,三王公廟,大潭,西庄,菁埔,福權村2,福權村1,民雄國中,溪口路口,民雄,民雄鄉公所,協志高中,民雄稅捐處,雙福,吳鳳科技大學,協同中學,協同中學1,福樂新村,頭橋,頭橋工業區,忠孝北街,荖籐宅,宏仁女中,後湖,台斗街,文化中心,市政府,吳鳳幼稚園,嘉義,,,,,,,,,,,,,,,,,,,,,,,,,,,
