7109,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙豐,虎尾,經台西,土庫、馬光、褒忠、月眉、東勢、台西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunfeng,Huwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830,0900,1000,1110,1230,1300,1400,1500,1550,1830,,,,,,,,,,,,,,,,,,,,,,,,,,
0620,0830,0900,1110,1400,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙豐,五港,福安宮,台西,光華村,五榔,西潭,路利潭,東潭,三塊厝,東勢監理分站,東勢,復興,月眉,媽埔,三仁醫院,褒忠,頂寮,馬光國小,馬光,大荖,土庫國中,土庫公所,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,,,,,,
Lunfeng,Wugang,Fu-an Temple,Taixi,Guanghua Village,Wulang,Westtan,Lulitan,Easttan,Sankuaicuo,Dongshi Motor Vehicle Substation,Dongshi,Fuxing,Yuemei,Mabu,Sanren Hospital,Baozhong,Dingliao,Maguang ES.,Maguang,Dalau,Tuku JHS.,Tuku Township Office,Tuku,Yongnian High School,Xianan,Zhongnan,Dingnan,NFU,Huwei,,,,,,
-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
466011200153685 ,台西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7114,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台西,西螺,,埔心、麥寮、崙豐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taixi,Siluo AIVS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台西,福安宮,五港,崙豐,新興,麥寮,麥寮衛生所,寮子,十八線,楊厝,後安,中山,新厝仔,三盛,橋頭,施厝2,施厝,施厝1,豐榮西站,豐榮,豐榮國小,舊庄,頂厝,下街,新庄,番社,山仔門,油車,荷苞嶼,田頭,永定,溝仔墘,埔心,文昌國小,西螺站,西螺農工
Taixi,Fu-an Temple,Wugang,Lunfeng,Xinxing,Mailiao,Mailiao Public Health Office,Liaozi,Shibaxian,Yangcuo,Hou-An,Zhongshan,Xincuozi,Sansheng,Qiaotou,Shicuo(II),Shicuo,Shicuo(I),Fengrong West Station,Fengrong,Fengrung ES.,Jiuzhuang,Dingcuo,Xiajie,Xinzhuang,Fanshe,Shanzimen,Youche,Hebaoyu,Tiantou,Yongding,Gouzigan,Puxin,Wenchang ES.,Xiluo Station,Siluo AIVS.
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153685 ,台西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
