7109,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,崙豐,經台西,土庫、馬光、褒忠站、月眉、東勢、台西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwei,Lunfeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,0800,0900,1010,1130,1200,1300,1400,1440,1935,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,0800,1010,1300,1440,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,虎尾科技大學,頂湳,中湳,下湳,永年中學,土庫,土庫公所,土庫國中,大荖,馬光,馬光國小,頂寮,褒忠站,三仁醫院,媽埔,月眉,復興,東勢,東勢監理分站,三塊厝,東潭,路利潭,西潭,五榔,光華村,台西,福安宮,五港,崙豐,,,,,,
Huwei,NFU,Dingnan,Zhongnan,Xianan,Yongnian High School,Tuku,Tuku Township Office,Tuku JHS.,Dalau,Maguang,Maguang ES.,Dingliao,Baozhong Station,Sanren Hospital,Mabu,Yuemei,Fuxing,Dongshi,Dongshi Motor Vehicle Substation,Sankuaicuo,Easttan,Lulitan,Westtan,Wulang,Guanghua Village,Taixi,Fu-an Temple,Wugang,Lunfeng,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,,,,,,
466011200153684 ,台西站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7114,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺,台西,,埔心、麥寮、崙豐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siluo AIVS.,Taixi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺農工,西螺站,文昌國小,埔心,溝仔墘,永定,田頭,荷苞嶼,油車,山仔門,番社,新庄,下街,頂厝,舊庄,豐榮國小,豐榮,豐榮西站,施厝1,施厝,施厝2,橋頭,三盛,新厝仔,中山,後安,楊厝,十八線,寮子,麥寮衛生所,麥寮,新興,崙豐,五港,福安宮,台西
Siluo AIVS.,Xiluo Station,Wenchang ES.,Puxin,Gouzigan,Yongding,Tiantou,Hebaoyu,Youche,Shanzimen,Fanshe,Xinzhuang,Xiajie,Dingcuo,Jiuzhuang,Fengrung ES.,Fengrong,Fengrong West Station,Shicuo(I),Shicuo,Shicuo(II),Qiaotou,Sansheng,Xincuozi,Zhongshan,Hou-An,Yangcuo,Shibaxian,Liaozi,Mailiao Public Health Office,Mailiao,Xinxing,Lunfeng,Wugang,Fu-an Temple,Taixi
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
466011200153684 ,台西站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
