7107,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
口湖,虎尾,經元長,褒忠站、元長、四湖、口湖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feisha JHS.,Huwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛沙國中,林厝國小,三條崙,大榕腳,下崙,口湖,口湖國中,埔南,鱉潭,林頭園,內湖,下寮,農場,四湖,新庄,砂崙腳,西勢,溪底,五塊厝,五府王爺廟,合和,元長,蔥仔寮,山仔內,元長鄉溪底,褒忠,頂寮,馬光國小,馬光,後埔,西屯,大屯,三合,新吉,虎尾科技大學,虎尾,
Feisha JHS.,Lincuo ES.,Santiaolun Station,Darongjiao,Xialun,Kouhu,Kouhu JHS.,Punan,Bietan,Lintouyuan,Neihu,Xialiao,Farm,Sihu,Xinzhuang,Shalunjiao,Xishi,Xidi,Wukuaicuo,Wufu Wangye Temple,Hehe,Yuanchang,Congziliao,Shanzinei,Yuanchang Township Xidi,Baozhong,Dingliao,Maguang ES.,Maguang,Houpu,Xitun,Datun,Sanhe,Xinji,NFU,Huwei,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
466011200153672 ,四湖站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7221,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西,北港,經三條崙,四湖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taixi,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義客運 05-2750895,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0640,0820,0900,1000,1200,1300,1400,1500,1600,1700,1815,1925,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台西,尚德國小,泉州,溪頂,昭安府,林厝寮,林厝寮派出所,溪仔崙,三條崙1,三條崙,大榕下,五塊厝,飛沙國中,下飛沙,下飛沙1,溪尾,西羊稠,羊稠厝,建華國小,東羊稠,下湖,四湖衛生所,四湖1,四湖,文生國中,四湖國中,湖寮,鹿場,牛挑灣,宏仁國小,西井,好收,好收派出所,口庄,劉厝,建國國中,北港
Taixi,Shangde ES.,Quanzhou,Xiding,Zhao-An Temple,Lincuoliao,Lincuoliao Police Substation,Xizilun,Santiaolun (I),Santiaolun,Darongxia,Wukuaicuo,Feisha JHS.,Xiafeisha,Xiafeisha(I),Xiwei,Xiyangchou,Yangchoucuo,Jianhua ES.,Dongyangchou,Xiahu,Sihu Health Center,Sihu(I),Sihu,Wensheng JHS.,Sihu JHS.,Huliao,Luchang,Niutiaowan,Hongren ES.,Xijing,Haoshou,Haoshou Police Substation,Kouzhuang,Liucuo,Jianguo JHS.,Beigang
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153672 ,四湖站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
