7108,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙豐,虎尾,經有才寮,土庫、馬光、有才寮,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunfeng,Huwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙豐,有才寮,糖廠,田洋,龍巖,潮厝,馬光,後埔,西屯,大屯,土庫國中,土庫公所,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,,,,,,,,,,,
Lunfeng,Youcailiao,Sugar Refinery,Tianyang,Longyan,Chaocuo,Maguang,Houpu,Xitun,Datun,Tuku JHS.,Tuku Township Office,Tuku,Yongnian High School,Xianan,Zhongnan,Dingnan,NFU,Huwei,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,,,,,,,,,,,
466011200153670 ,土庫公所站,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7109,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙豐,虎尾,經台西,土庫、馬光、褒忠、月眉、東勢、台西,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunfeng,Huwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830,0900,1000,1110,1230,1300,1400,1500,1550,1830,,,,,,,,,,,,,,,,,,,,
0620,0830,0900,1110,1400,1550,,,,,,,,,,,,,,,,,,,,,,,,
崙豐,五港,福安宮,台西,光華村,五榔,西潭,路利潭,東潭,三塊厝,東勢監理分站,東勢,復興,月眉,媽埔,三仁醫院,褒忠,頂寮,馬光國小,馬光,大荖,土庫國中,土庫公所,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾
Lunfeng,Wugang,Fu-an Temple,Taixi,Guanghua Village,Wulang,Westtan,Lulitan,Easttan,Sankuaicuo,Dongshi Motor Vehicle Substation,Dongshi,Fuxing,Yuemei,Mabu,Sanren Hospital,Baozhong,Dingliao,Maguang ES.,Maguang,Dalau,Tuku JHS.,Tuku Township Office,Tuku,Yongnian High School,Xianan,Zhongnan,Dingnan,NFU,Huwei
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1
466011200153670 ,土庫公所站,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7110,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
褒忠,虎尾,,土庫、糖廠、有才寮,,,,,,,,,,,,,,,,,,,,,,,,,,
Baozhong Station,Huwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
褒忠站,六塊厝,馬鳴山,新湖,湖頭厝,有才寮,糖廠,田洋,龍巖,潮厝,馬光,大荖,土庫國中,土庫公所,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,,,,,,,,,
Baozhong Station,Liukuaicuo,Mamingshan,Xinhu,Hutoucuo,Youcailiao,Sugar Refinery,Tianyang,Longyan,Chaocuo,Maguang,Dalau,Tuku JHS.,Tuku Township Office,Tuku,Yongnian High School,Xianan,Zhongnan,Dingnan,NFU,Huwei,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,,,,,,,,,
466011200153670 ,土庫公所站,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
