7108,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,崙豐,經有才寮,土庫、馬光、有才寮,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwei,Lunfeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,虎尾科技大學,頂湳,中湳,下湳,永年中學,土庫,土庫公所,土庫國中,大屯,西屯,後埔,馬光,潮厝,龍巖,田洋,糖廠,有才寮,崙豐,,,,,,,,,,,
Huwei,NFU,Dingnan,Zhongnan,Xianan,Yongnian High School,Tuku,Tuku Township Office,Tuku JHS.,Datun,Xitun,Houpu,Maguang,Chaocuo,Longyan,Tianyang,Sugar Refinery,Youcailiao,Lunfeng,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
466011200153671 ,土庫公所站,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7109,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,崙豐,經台西,土庫、馬光、褒忠站、月眉、東勢、台西,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwei,Lunfeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,0800,0900,1010,1130,1200,1300,1400,1440,1935,,,,,,,,,,,,,,,,,,,,
0730,0800,1010,1300,1440,1720,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,虎尾科技大學,頂湳,中湳,下湳,永年中學,土庫,土庫公所,土庫國中,大荖,馬光,馬光國小,頂寮,褒忠站,三仁醫院,媽埔,月眉,復興,東勢,東勢監理分站,三塊厝,東潭,路利潭,西潭,五榔,光華村,台西,福安宮,五港,崙豐
Huwei,NFU,Dingnan,Zhongnan,Xianan,Yongnian High School,Tuku,Tuku Township Office,Tuku JHS.,Dalau,Maguang,Maguang ES.,Dingliao,Baozhong Station,Sanren Hospital,Mabu,Yuemei,Fuxing,Dongshi,Dongshi Motor Vehicle Substation,Sankuaicuo,Easttan,Lulitan,Westtan,Wulang,Guanghua Village,Taixi,Fu-an Temple,Wugang,Lunfeng
-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153671 ,土庫公所站,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7110,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,褒忠,,土庫、糖廠、有才寮,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwei,Baozhong Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎尾,虎尾科技大學,頂湳,中湳,下湳,永年中學,土庫,土庫公所,土庫國中,大荖,馬光,潮厝,龍巖,田洋,糖廠,有才寮,湖頭厝,新湖,馬鳴山,六塊厝,褒忠,,,,,,,,,
Huwei,NFU,Dingnan,Zhongnan,Xianan,Yongnian High School,Tuku,Tuku Township Office,Tuku JHS.,Dalau,Maguang,Chaocuo,Longyan,Tianyang,Sugar Refinery,Youcailiao,Hutoucuo,Xinhu,Mamingshan,Liukuaicuo,Baozhong,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
466011200153671 ,土庫公所站,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
