7123,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,斗六,經惠來厝,虎尾、土庫、奮起湖、元長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Douliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0745,0905,1035,1150,1610,1705,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0745,0905,1035,1150,1610,1705,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,子茂,和平國小,秀潭,奮起湖,義雲宮,新興,下店,土庫商工,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,勝源,埒內社區,埒內,汕尾,虎尾國中,半路店,中溪,東過溪,崁腳,大路墘,惠來國小,惠來厝,溪底仔,大美瓦斯廠,大美,榮橋新村,豐泰,虎尾溪,正心中學,電力公司,斗六
Beigang,Beigang Power Company,Wulu Caishen Temple,Xinjie,Caohu,Dingcaohu,Gouzao,Xizhuang,Dingxizhuang,Bai hua mu,Yuanzhang1,Yuanchang,Zimau,Heping Elementary School,Xiutan,Fenqihu,Yiyun Temple,Xinxing,Xiadian,Tuku Vocational High School,Tuku,Yongnian High School,Xianan,Zhongnan,Dingnan,National Formosa University,Huwei,Shengyuan,Lenei Community,Lenei,Shanwei,Huwei Junior High School,Banludian,Zhongxi,Dongguoxi,Kanjiao,Daluqian,Huilai Elementary School,Huilaicuo,Xi Di Zi,Damei Gas Factory,Damei,Rongqiao Village,Fengtai,Huweixi,Zhengxin High school,Taiwan Power Company,Douliu
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100014,土庫站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁一醫院,北港圖書館,北港農工,雲林二監,廉使,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renyi Hospital,Beigang Library,Pei-Kang Vocational High,Yunlin Second Prison,Lianshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7124,M,,,,A[繞駛媽祖醫院],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,斗六,經北勢子,虎尾、土庫、元長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Douliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0640,0835,0945,1010,1115,1230,1315,1425,1520,1735,1810,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0640,0835,0945,1010,1115,1230,1315,1425,1520,1735,1810,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,子茂,和平國小,秀潭,奮起湖,義雲宮,新興,下店,土庫商工,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,虎尾圓環,虎尾高中,虎尾分局,平和國小,平和厝,大業,新厝,北勢,新光,東明里,新庄,久安,久安1,縣政府,雲林監理站,慈濟門診中心,中華影城,鎮西國小,斗六,,
Beigang,Beigang Power Company,Wulu Caishen Temple,Xinjie,Caohu,Dingcaohu,Gouzao,Xizhuang,Dingxizhuang,Bai hua mu,Yuanzhang1,Yuanchang,Zimau,Heping Elementary School,Xiutan,Fenqihu,Yiyun Temple,Xinxing,Xiadian,Tuku Vocational High School,Tuku,Yongnian High School,Xianan,Zhongnan,Dingnan,National Formosa University,Huwei,Huwei Traffic Circle,Huwei Senior High School,Huwei Police Substation,Ping-He Elementary School,Pinghecuo,Daye,Xincuo,Beishi,Xinguang,Dongming Village,Xinzhuang,Jiuan,Jiuan 1,County Government,Yunlin Motor Vehicles Station,Tzu Chi Clinic Center,Zhonghua Movie City,Zhenxi Elementary School,Douliu,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
100014,土庫站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽祖醫院,埒內,中溪,崁腳,大路墘,惠來國小,惠來公墓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazu Hospital,Lenei,Zhongxi,Kanjiao,Daluqian,Huilai Elementary School,Huilai cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9015,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,臺中車站,,土庫、馬光、褒忠、元長、新街,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,TRA Taichung Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,台中客運 0800-800126,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0600,0640,0720,0800,0840,0920,1000,1040,1120,1200,1240,1320,1400,1440,1520,1600,1640,1720,1800,1830,1900,1940,2020,,,,,,,,,,,,,,,,,,,,,,,,,
0600,0640,0720,0800,0830,0840,0900,0930,0930,1000,1020,1030,1100,1130,1200,1230,1240,1300,1330,1330,1340,1400,1415,1430,1445,1500,1515,1530,1545,1600,1615,1630,1700,1730,1800,1830,1900,1930,2000,2030,2100,2130,,,,,,
北港,元長(上客站),褒忠(上客站),馬光(上客站),土庫(上客站),工專站(上客站),虎尾站(上客站),大業(上客站),朝馬(下客站),臺中市政府(下客站),頂何厝(臺灣大道)(下客站),科學博物館(臺灣大道)(下客站),民權路口(下客站),臺中教育大學(下客站),臺中州廳(下客站),臺中車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Yuanzhang,Baozhong,Maguang,Tuku,Gongzhuan Station,Huwei Station,Daye,Chaoma Station,Taichung City Hall,Dinghecuo(Taiwan Boulevard),NMNS(Taiwan Boulevar),Minquan Rd. Intersection,NTCU,Taichung Prefectural Hall,TRA Taichung Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100014,土庫站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
