7103,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮,斗南,,虎尾、高鐵雲林站、崙背、麥寮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liuqing Industry Park,Dounan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0940,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六輕工業區,雲林長庚醫院,後安,麥寮高中,麥寮,麥寮衛生所,鎮東宮,霄仁厝,興化厝,華濟醫院,大有,五塊厝,鹽園,松本超市,崙背,水汴頭,打牛湳,二崙,崙東,田尾,田尾1,賜福宮,湳仔,吳厝,高鐵雲林站,台大虎尾分院,興隆毛巾工廠,埒內社區,勝源,虎尾,中華特區,雲林監獄,興南,竹圍,大東社區,大東,東明國中,電信局,斗南
Liuqing Industry Park,Yunlin Changgung Memorial Hospital,Hou-An,Mailiao HS.,Mailiao,Mailiao Public Health Office,Zhendong temple,Xiaorencuo,Xinghuacuo,Huaji Hospital,Dayou,Wukuaicuo,Yanyuan,Songben Supermarket,Lunbei,Shuibiantou,Daniunan,Erlun,Lundong,Tianwei,Tianwei(I),Sifu Temple,Nanzi,Wucuo,Yunlin HSR Station,NTU Hospital Huwei Branch,SL Towel Industrial  Factory,Lenei Community,Shengyuan,Huwei,Zhonghua District,Yunlin Prison,Xingnan,Zhuwei,Dadong Community,Dadong,Dong ming High School,Chunghwa Telecom,Dounan
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153952 ,崙背站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮,虎尾,,高鐵雲林站、崙背、麥寮、雲林長庚醫院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liuqing Industry Park,Huwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0840,0930,0935,1000,1040,1320,1330,1415,1450,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900,0930,1320,1415,1450,1630,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六輕工業區,雲林長庚醫院,後安,楊厝,麥寮高中,麥寮鄉公所,麥寮,麥寮衛生所,鎮東宮,霄仁厝,興化厝,華濟醫院,大有,五塊厝,鹽園,松本超市,崙背,新起寮,羅厝1,羅厝,東興國小,港尾,深坑,三塊厝,十八張犁,三和國小,湳仔,吳厝,高鐵雲林站,台大虎尾分院,興隆毛巾工廠,埒內社區,勝源,虎尾,,,,,
Liuqing Industry Park,Yunlin Changgung Memorial Hospital,Hou-An,Yangcuo,Mailiao HS.,Mailiao Township Office,Mailiao,Mailiao Public Health Office,Zhendong temple,Xiaorencuo,Xinghuacuo,Huaji Hospital,Dayou,Wukuaicuo,Yanyuan,Songben Supermarket,Lunbei,Xinqiliao,Luocuo(I),Luocuo,Dongsing ES.,Gangwei,Shenkeng,Sankuaicuo,Shibazhangli,Sanhe ES.,Nanzi,Wucuo,Yunlin HSR Station,NTU Hospital Huwei Branch,SL Towel Industrial Factory,Lenei Community,Shengyuan,Huwei,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
466011200153952 ,崙背站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
