7114,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台西,西螺,,埔心、麥寮、崙豐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taixi,Siluo AIVS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台西,福安宮,五港,崙豐,新興,麥寮,麥寮衛生所,寮子,十八線,楊厝,後安,中山,新厝仔,三盛,橋頭,施厝2,施厝,施厝1,豐榮西站,豐榮,豐榮國小,舊庄,頂厝,下街,新庄,番社,山仔門,油車,荷苞嶼,田頭,永定,溝仔墘,埔心,文昌國小,西螺站,西螺農工
Taixi,Fu-an Temple,Wugang,Lunfeng,Xinxing,Mailiao,Mailiao Public Health Office,Liaozi,Shibaxian,Yangcuo,Hou-An,Zhongshan,Xincuozi,Sansheng,Qiaotou,Shicuo(II),Shicuo,Shicuo(I),Fengrong West Station,Fengrong,Fengrung ES.,Jiuzhuang,Dingcuo,Xiajie,Xinzhuang,Fanshe,Shanzimen,Youche,Hebaoyu,Tiantou,Yongding,Gouzigan,Puxin,Wenchang ES.,Xiluo Station,Siluo AIVS.
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1
466011200153689 ,文昌國小站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7115,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮,西螺,,埔心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mailiao,Siluo AIVS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮,麥寮衛生所,寮子,十八線,楊厝,後安,中山,新厝仔,三盛,橋頭,施厝2,施厝,施厝1,豐榮西站,豐榮,豐榮國小,舊庄,草湖,草湖1,洲子,山仔門,油車,荷苞嶼,田頭,永定,溝仔墘,埔心,文昌國小,西螺站,西螺農工,,,,,,
