7114,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺,台西,,埔心、麥寮、崙豐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siluo AIVS.,Taixi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺農工,西螺站,文昌國小,埔心,溝仔墘,永定,田頭,荷苞嶼,油車,山仔門,番社,新庄,下街,頂厝,舊庄,豐榮國小,豐榮,豐榮西站,施厝1,施厝,施厝2,橋頭,三盛,新厝仔,中山,後安,楊厝,十八線,寮子,麥寮衛生所,麥寮,新興,崙豐,五港,福安宮,台西
Siluo AIVS.,Xiluo Station,Wenchang ES.,Puxin,Gouzigan,Yongding,Tiantou,Hebaoyu,Youche,Shanzimen,Fanshe,Xinzhuang,Xiajie,Dingcuo,Jiuzhuang,Fengrung ES.,Fengrong,Fengrong West Station,Shicuo(I),Shicuo,Shicuo(II),Qiaotou,Sansheng,Xincuozi,Zhongshan,Hou-An,Yangcuo,Shibaxian,Liaozi,Mailiao Public Health Office,Mailiao,Xinxing,Lunfeng,Wugang,Fu-an Temple,Taixi
-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153688 ,文昌國小站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7115,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺,麥寮,,埔心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siluo AIVS.,Mailiao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺農工,西螺站,文昌國小,埔心,溝仔墘,永定,田頭,荷苞嶼,油車,山仔門,洲子,草湖1,草湖,舊庄,豐榮國小,豐榮,豐榮西站,施厝1,施厝,施厝2,橋頭,三盛,新厝仔,中山,後安,楊厝,十八線,寮子,麥寮衛生所,麥寮,,,,,,
Siluo AIVS.,Xiluo Station,Wenchang ES.,Puxin,Gouzigan,Yongding,Tiantou,Hebaoyu,Youche,Shanzimen,Zhouzi,Caohu1,Caohu,Jiuzhuang,Fengrung ES.,Fengrong,Fengrong West Station,Shicuo(I),Shicuo,Shicuo(II),Qiaotou,Sansheng,Xincuozi,Zhongshan,Hou-An,Yangcuo,Shibaxian,Liaozi,Mailiao Public Health Office,Mailiao,,,,,,
-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
466011200153688 ,文昌國小站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7118,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺,虎尾,經二崙,埔心、崙東、高鐵雲林站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiluo Station,Huwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0850,1030,1110,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0850,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺站,文昌國小,埔心,溝仔墘,永定,荷苞嶼,油車,大義崙,莿仔圍,二崙國中,二崙,崙東,田尾,田尾1,賜福宮,湳仔,吳厝,高鐵雲林站,台大虎尾分院,興中,虎尾農工,虎尾,,,,,,,,,,,,,,
Xiluo Station,Wenchang ES.,Puxin,Gouzigan,Yongding,Hebaoyu,Youche,Dayilun,Ciziwei,Erlun JHS.,Erlun,Lundong,Tianwei,Tianwei(I),Sifu Temple,Nanzi,Wucuo,Yunlin HSR Station,NTU Hospital Huwei Branch,Xingzhong,Huwei AIHS.,Huwei,,,,,,,,,,,,,,
-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
466011200153688 ,文昌國小站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
