7011,M,,,,,A[經勞工育樂中心、環球科技大學],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六輕,斗六,,大美、莿桐、西螺、埔心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunlin CGMH,YLJH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日統客運 05-5361176,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0620,0820,1020,1220,1320,1520,1620,1720,1820,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0620,0820,1020,1220,1600,1620,1720,1820,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林長庚醫院,六輕站,中興村,許厝寮,三姓,橋頭,雷厝路口,施厝寮,豐榮西站,豐榮站,草湖村口,舊庄,水尾,新莊,大同加油站,大同國小,油車西站,油車站,荷苞嶼,田頭,永定派出所,永定厝,安定國小,埔心,南港輪胎,西螺農會,第一銀行,西螺地政,西螺加油站,西螺農工,奉天宮,西螺站,埤源加油站,新莊仔,僑和國小,莿桐站,莿桐農會,莿桐國中,大美站,豐泰公司,虎尾溪里,正心中學,電力公司,斗六後車站,洪揚醫院,斗六站,水岸藝術公園,雲林科技大學,稅捐處,雲林監理站,雲林國中
Yunlin Changgung Memorial Hospital,Liuqing Station,Zhongxing Village,Hucuoliao,Sanxing,Qiaotou,Leicuo Road Intersection,Shicuoliao,Fengrong West Station,Fengrong Station,Caohu Village,Jiuzhuang,Shuiwei,Xinzhuang,Datong Gas Station,Datong Elementary School,Youche West Station,Youche Station,Hebaoyu,Tiantou,Yongding Police Substation,Yongdingcuo,Anding Elementary School,Puxin,Nankang Rubber Tire,Xiluo Farmer Assc.,First Bank,Xiluo Land Office,Xiluo Gas Station,Siluo Agricultural Industrial High,Fengtian Temple,Xiluo Station,Biyuan Gas Station,Xinzhuangzi,Ciaohe Elementary School,Citong Station,Citong Farmer Assc.,Citong Junior High School,Damei Station,Fengtai Company,Huweixi Vil.,Zhengxin High school,Taiwan Power Company,Douliou Station,Hong yang Hospital,Douliu Station,Shuian Art Park,Yunlin University of Sci. & Tech.,Revenue Service,Yunlin Motor Vehicles Station,Yunlin Junior High School
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100016,西螺農工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勞工育樂中心,環球科技大學,勞工育樂中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Labor Recreation Center,Trans world University,The Labor Recreation Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7133,F,,,,,A[經鎮北里、長安],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺,斗六,經埤源,埤源、莿桐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiluo Station,Douliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
