7201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,北港,經月眉潭,新港,,,A[經嘉義市學區],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiayi,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義客運 05-2750895,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0600,0620,0710,0750,0850,1000,1040,1150,1240,1330,1430,1530,1600,1650,1715,1830,1940,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,火車站,伏龍宮,市議會,嘉義醫院,姜母寮,大嘉駕訓班,大溪厝,下埤里,竹子腳,水牛厝,南新,嘉新國中,東麻魚里,麻魚里,西麻魚里,華濟醫院,嘉太工業區,水利會,月眉潭,月眉派出所,新興社區,菜公村,建昌社區,新港公所,新港電力公司,新港,新港國中,後庄路口,老塗獅,南壇,南港派出所,板頭路口,水仙宮,安和路口,崙陽路口,蘇厝寮,北港派出所,北港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiayi,Train Station,Fulong Temple,City Council,Chiayi Hospital,Jiangmuliao,Dajia Driver School,Daxicuo,Xiabi Village,Zhuzijiao,Shuiniucuo,Nanxin,Jiaxin Junior High School.,Dongmayuli,Mayuli,West Mayu Village,Huaji Hospital,Jiatai Industrial Park,Irrigation Association,Yuemeitan,Yuemei Police Substation,Xinxing Community,Caigong Village,Jianchang Community,Xingang Township Office,Taipower Xingang Service center,Xingang,Xingang Junior High School.,Houzhuang Rd. Intersection,Laotushi,Nantan,Nangang Police Substation,Bantou Rd. Intersection,Shuixian Temple,Anhe Rd. Intersection,Lunyang Rd. Intersection,Sucuoliao,Beigang Police Substation,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100017,北港派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
華南商職1,嘉義高商,嘉義高中,228紀念館,民族停車場,文化路口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hua-Nan Commercial High,Chiayi Senior Commerical School,Chiayi Senior High,228 memorial museum,Mingtsu Parking Lot,Wenhua Road Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7202,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
